Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
621062,MALARIA_INDIG,COUNTRY,BFA,AFR,Africa,YEAR,2020,,,,,,,,,10 600 340,10600340,,,,2023-05-10T14:51:07Z,2020,2020-01-01,2020-12-31
602449,MALARIA_INDIG,COUNTRY,NIC,AMR,Americas,YEAR,2015,,,,,,,,,2 279,2279,,,,2023-05-10T14:51:03Z,2015,2015-01-01,2015-12-31
584071,MALARIA_INDIG,COUNTRY,CHN,WPR,Western Pacific,YEAR,2011,,,,,,,,,1 308,1308,,,,2023-05-10T14:51:03Z,2011,2011-01-01,2011-12-31
621163,MALARIA_INDIG,REGION,AMR,,,YEAR,2021,,,,,,,,,478 396,478396,,,,2023-05-10T14:50:54Z,2021,2021-01-01,2021-12-31
584159,MALARIA_INDIG,COUNTRY,VUT,WPR,Western Pacific,YEAR,2011,,,,,,,,,6 179,6179,,,,2023-05-10T14:51:00Z,2011,2011-01-01,2011-12-31
621224,MALARIA_INDIG,COUNTRY,MRT,AFR,Africa,YEAR,2021,,,,,,,,,18 660,18660,,,,2023-05-10T14:50:54Z,2021,2021-01-01,2021-12-31
621105,MALARIA_INDIG,COUNTRY,KOR,WPR,Western Pacific,YEAR,2020,,,,,,,,,356,356,,,,2023-05-10T14:50:50Z,2020,2020-01-01,2020-12-31
593155,MALARIA_INDIG,REGION,WPR,,,YEAR,2012,,,,,,,,,326 838,326838,,,,2023-05-10T14:51:06Z,2012,2012-01-01,2012-12-31
602615,MALARIA_INDIG,COUNTRY,BEN,AFR,Africa,YEAR,2017,,,,,,,,,1 933 912,1933912,,,,2023-05-10T14:50:55Z,2017,2017-01-01,2017-12-31
621113,MALARIA_INDIG,COUNTRY,MOZ,AFR,Africa,YEAR,2020,,,,,,,,,11 318 685,11318685,,,,2023-05-10T14:51:00Z,2020,2020-01-01,2020-12-31
584146,MALARIA_INDIG,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2011,,,,,,,,,48,48,,,,2023-05-10T14:51:05Z,2011,2011-01-01,2011-12-31
611615,MALARIA_INDIG,COUNTRY,GIN,AFR,Africa,YEAR,2019,,,,,,,,,2 143 225,2143225,,,,2023-05-10T14:51:07Z,2019,2019-01-01,2019-12-31
575064,MALARIA_INDIG,REGION,EUR,,,YEAR,2008,,,,,,,,,587,587,,,,2023-05-10T14:50:51Z,2008,2008-01-01,2008-12-31
611453,MALARIA_INDIG,COUNTRY,TZA,AFR,Africa,YEAR,2017,,,,,,,,,5 744 907,5744907,,,,2023-05-10T14:50:54Z,2017,2017-01-01,2017-12-31
593302,MALARIA_INDIG,REGION,EMR,,,YEAR,2014,,,,,,,,,1 547 631,1547631,,,,2023-05-10T14:51:07Z,2014,2014-01-01,2014-12-31
602556,MALARIA_INDIG,COUNTRY,MOZ,AFR,Africa,YEAR,2016,,,,,,,,,9 690 873,9690873,,,,2023-05-10T14:51:03Z,2016,2016-01-01,2016-12-31
