Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
789644,MALARIA_PF_INDIG,COUNTRY,ETH,AFR,Africa,YEAR,2011,,,,,,,,,814 547,814547,,,,2023-05-10T14:52:47Z,2011,2011-01-01,2011-12-31
798612,MALARIA_PF_INDIG,COUNTRY,PAN,AMR,Americas,YEAR,2011,,,,,,,,,1,1,,,,2023-05-10T14:52:37Z,2011,2011-01-01,2011-12-31
807630,MALARIA_PF_INDIG,COUNTRY,CPV,AFR,Africa,YEAR,2016,,,,,,,,,49,49,,,,2023-05-10T14:52:37Z,2016,2016-01-01,2016-12-31
826721,MALARIA_PF_INDIG,COUNTRY,GUY,AMR,Americas,YEAR,2021,,,,,,,,,5 994,5994,,,,2023-05-10T14:52:40Z,2021,2021-01-01,2021-12-31
789556,MALARIA_PF_INDIG,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,1 010,1010,,,,2023-05-10T14:52:43Z,2010,2010-01-01,2010-12-31
807753,MALARIA_PF_INDIG,COUNTRY,MYS,WPR,Western Pacific,YEAR,2017,,,,,,,,,18,18,,,,2023-05-10T14:52:37Z,2017,2017-01-01,2017-12-31
798649,MALARIA_PF_INDIG,COUNTRY,BOL,AMR,Americas,YEAR,2012,,,,,,,,,337,337,,,,2023-05-10T14:52:43Z,2012,2012-01-01,2012-12-31
826679,MALARIA_PF_INDIG,COUNTRY,VNM,WPR,Western Pacific,YEAR,2020,,,,,,,,,792,792,,,,2023-05-10T14:52:45Z,2020,2020-01-01,2020-12-31
817209,MALARIA_PF_INDIG,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,55 639,55639,,,,2023-05-10T14:52:39Z,2018,2018-01-01,2018-12-31
817196,MALARIA_PF_INDIG,COUNTRY,KHM,WPR,Western Pacific,YEAR,2018,,,,,,,,,10 525,10525,,,,2023-05-10T14:52:39Z,2018,2018-01-01,2018-12-31
