Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7263572,MALARIA_EST_INCIDENCE,COUNTRY,COG,AFR,Africa,YEAR,2015,,,,,,,,,208.77 [136.12-307.64],208.76924,136.11649,307.64094,,2024-03-08T11:10:32Z,2015,2015-01-01,2015-12-31
7260663,MALARIA_EST_INCIDENCE,COUNTRY,HTI,AMR,Americas,YEAR,2004,,,,,,,,,9.67 [5.50-15.65],9.66505,5.49662,15.65468,,2024-03-08T11:10:32Z,2004,2004-01-01,2004-12-31
7260426,MALARIA_EST_INCIDENCE,COUNTRY,GAB,AFR,Africa,YEAR,2020,,,,,,,,,230.21 [123.49-395.76],230.20815,123.49354,395.75915,,2024-03-08T11:10:32Z,2020,2020-01-01,2020-12-31
7261770,MALARIA_EST_INCIDENCE,COUNTRY,PRY,AMR,Americas,YEAR,2007,,,,,,,,,6.64 [6.64-6.64],6.64364,6.64364,6.64364,,2024-03-08T11:10:32Z,2007,2007-01-01,2007-12-31
7263375,MALARIA_EST_INCIDENCE,UNREGION,151,,,YEAR,2002,,,,,,,,,0 [0-0],0,0,0,,2024-03-08T11:10:32Z,2002,2002-01-01,2002-12-31
7260668,MALARIA_EST_INCIDENCE,COUNTRY,HTI,AMR,Americas,YEAR,2009,,,,,,,,,9.66 [5.51-15.74],9.66499,5.51409,15.73636,,2024-03-08T11:10:32Z,2009,2009-01-01,2009-12-31
7260279,MALARIA_EST_INCIDENCE,COUNTRY,GNQ,AFR,Africa,YEAR,2011,,,,,,,,,290.32 [206.53-398.37],290.32281,206.53281,398.36952,,2024-03-08T11:10:32Z,2011,2011-01-01,2011-12-31
7261141,MALARIA_EST_INCIDENCE,COUNTRY,MDG,AFR,Africa,YEAR,2022,,,,,,,,,120.21 [76.63-166.84],120.20642,76.62914,166.84044,,2024-03-08T11:10:32Z,2022,2022-01-01,2022-12-31
7260254,MALARIA_EST_INCIDENCE,COUNTRY,SLV,AMR,Americas,YEAR,2009,,,,,,,,,0.02 [0.02-0.02],0.01698,0.01698,0.01698,,2024-03-08T11:10:32Z,2009,2009-01-01,2009-12-31
7260662,MALARIA_EST_INCIDENCE,COUNTRY,HTI,AMR,Americas,YEAR,2003,,,,,,,,,9.67 [5.53-15.67],9.66501,5.53474,15.67263,,2024-03-08T11:10:32Z,2003,2003-01-01,2003-12-31
7260247,MALARIA_EST_INCIDENCE,COUNTRY,SLV,AMR,Americas,YEAR,2002,,,,,,,,,0.10 [0.10-0.10],0.09588,0.09588,0.09588,,2024-03-08T11:10:32Z,2002,2002-01-01,2002-12-31
7262184,MALARIA_EST_INCIDENCE,COUNTRY,BWA,AFR,Africa,YEAR,2007,,,,,,,,,0.99 [0.37-2.44],0.99075,0.37343,2.4424,,2024-03-08T11:10:32Z,2007,2007-01-01,2007-12-31
7263190,MALARIA_EST_INCIDENCE,COUNTRY,CAF,AFR,Africa,YEAR,2001,,,,,,,,,425.44 [309.35-567.72],425.44202,309.34643,567.72431,,2024-03-08T11:10:32Z,2001,2001-01-01,2001-12-31
7263441,MALARIA_EST_INCIDENCE,UNREGION,155,,,YEAR,2022,,,,,,,,,0 [0-0],0,0,0,,2024-03-08T11:10:32Z,2022,2022-01-01,2022-12-31
7260846,MALARIA_EST_INCIDENCE,COUNTRY,CIV,AFR,Africa,YEAR,2003,,,,,,,,,517.48 [416.27-635.76],517.48262,416.27091,635.75775,,2024-03-08T11:10:32Z,2003,2003-01-01,2003-12-31
7261064,MALARIA_EST_INCIDENCE,UNSDGREGION,UNSDG_LAC,,,YEAR,2014,,,,,,,,,3.32 [3.11-3.57],3.32485,3.10975,3.57442,"Nature of data for some countries in this region are either (M) modelled, E(Estimated), CA (Country adjusted ) or  (C) Country data",2024-03-08T11:10:32Z,2014,2014-01-01,2014-12-31
7262743,MALARIA_EST_INCIDENCE,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,32.88 [23.16-47.19],32.87729,23.15708,47.18974,,2024-03-08T11:10:32Z,2014,2014-01-01,2014-12-31
7260272,MALARIA_EST_INCIDENCE,COUNTRY,GNQ,AFR,Africa,YEAR,2004,,,,,,,,,360.00 [256.53-490.62],360.00145,256.53118,490.62382,,2024-03-08T11:10:32Z,2004,2004-01-01,2004-12-31
7261725,MALARIA_EST_INCIDENCE,COUNTRY,PAN,AMR,Americas,YEAR,2008,,,,,,,,,0.33 [0.32-0.36],0.33435,0.32197,0.35656,,2024-03-08T11:10:32Z,2008,2008-01-01,2008-12-31
7260703,MALARIA_EST_INCIDENCE,UNSDGREGION,UNSDG_SOUTHASIA,,,YEAR,2021,,,,,,,,,3.42 [2.30-4.73],3.41762,2.29534,4.73188,"Nature of data for some countries in this region are either (M) modelled, E(Estimated), CA (Country adjusted ) or  (C) Country data",2024-03-08T11:10:32Z,2021,2021-01-01,2021-12-31
7261532,MALARIA_EST_INCIDENCE,UNSDGREGION,UNSDG_AUSTRALIANEWZEALAND,,,YEAR,2022,,,,,,,,,0 [0-0],0,0,0,,2024-03-08T11:10:32Z,2022,2022-01-01,2022-12-31
7261715,MALARIA_EST_INCIDENCE,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,2.22 [1.76-2.98],2.22257,1.76076,2.98092,,2024-03-08T11:10:32Z,2021,2021-01-01,2021-12-31
7263252,MALARIA_EST_INCIDENCE,UNSDGREGION,UNSDG_CENTRALASIA,,,YEAR,2017,,,,,,,,,0 [0-0],0,0,0,"Nature of data for some countries in this region are either (M) modelled, E(Estimated), CA (Country adjusted ) or  (C) Country data",2024-03-08T11:10:32Z,2017,2017-01-01,2017-12-31
7261053,MALARIA_EST_INCIDENCE,UNSDGREGION,UNSDG_LAC,,,YEAR,2003,,,,,,,,,9.38 [8.64-10.23],9.38493,8.63811,10.23003,"Nature of data for some countries in this region are either (M) modelled, E(Estimated), CA (Country adjusted ) or  (C) Country data",2024-03-08T11:10:32Z,2003,2003-01-01,2003-12-31
